department,commodity_desc,quarter_like_period,sales,households,baskets
DRUG GM,HARDWARE SUPPLIES,4.0,718.1400000000002,137,167
DRUG GM,AUTOMOTIVE PRODUCTS,4.0,474.01000000000005,130,147
MEAT,MEAT SUPPLIES,4.0,24.19,4,7
GROCERY,SYRUPS/TOPPINGS,4.0,319.39,120,135
GROCERY,FRZN FRUITS,4.0,935.96,102,190
DELI,DELI SPECIALTIES (RETAIL PK),4.0,141.13000000000002,41,54
SEAFOOD-PCKGD,SEAFOOD-FRESH,4.0,724.2300000000001,118,177
GROCERY,RESTRICTED DIET,4.0,5.38,2,2
GROCERY,BIRD SEED,4.0,127.67000000000002,20,32
AUTOMOTIVE,COUPON,4.0,82.78,11,11
DRUG GM,PERSONAL CARE APPLIANCES,4.0,221.8,19,19
DRUG GM,NATURAL HBC,6.0,16.15,4,5
DRUG GM,EASTER,1.0,100.05999999999997,25,28
NUTRITION,PREPARED/PKGD FOODS,1.0,85.88,13,22
NUTRITION,CONDIMENTS,1.0,68.44,14,17
NUTRITION,BEVERAGE,1.0,75.44,21,28
DRUG GM,SMOKING CESSATIONS,1.0,341.41,3,9
COSMETICS,FRAGRANCES,1.0,83.25,6,6
SALAD BAR,PROD SUPPLIES,1.0,41.21,4,4
DRUG GM,NATURAL HBC,1.0,35.15,3,3
COSMETICS,COSMETIC ACCESSORIES,1.0,79.84,15,16
MEAT,RW FRESH PROCESSED MEAT,4.0,14.5,6,8
TOYS,TOYS,5.0,4.17,2,2
DRUG GM,WATCHES/CALCULATORS/LOBBY,5.0,24.93,5,5
HBC,INFANT CARE PRODUCTS,2.0,9.42,4,4
DRUG GM,SUNTAN,3.0,35.96,5,5
PORK,PORK,3.0,7.74,1,1
PRODUCE,GRAPES,7.0,4649.710000000002,571,1096
GROCERY,CHEESE,7.0,27731.519999999822,1693,6870
GROCERY,TEAS,7.0,1643.3000000000006,332,501
GROCERY,HISPANIC,7.0,6645.070000000005,919,1968
GROCERY,SALD DRSNG/SNDWCH SPRD,7.0,5396.540000000019,1068,2038
PRODUCE,PROCESSED,7.0,2490.8900000000053,451,736
GROCERY,PAPER TOWELS,7.0,4305.240000000004,723,1503
PRODUCE,MUSHROOMS,7.0,1638.7500000000025,303,660
GROCERY,DRY NOODLES/PASTA,7.0,3436.6500000000024,1016,2041
GROCERY,ICE CREAM/MILK/SHERBTS,7.0,10939.45999999999,1119,2735
GROCERY,FRUIT - SHELF STABLE,7.0,6368.460000000021,964,2096
GROCERY,CRACKERS/MISC BKD FD,7.0,9751.740000000042,1308,3387
PRODUCE,VEGETABLES SALAD,7.0,1795.3900000000067,632,1327
GROCERY,PET CARE SUPPLIES,7.0,2081.060000000001,239,398
DRUG GM,CANDY - CHECKLANE,7.0,3551.070000000016,1081,2970
GROCERY,FRZN BREAKFAST FOODS,7.0,3911.999999999998,533,1054
GROCERY,FRZN MEAT/MEAT DINNERS,7.0,24962.83999999995,1130,3426
GROCERY,SPICES & EXTRACTS,7.0,4547.229999999996,912,1530
GROCERY,PWDR/CRYSTL DRNK MX,7.0,1930.0899999999958,374,611
DRUG GM,BATTERIES,7.0,2107.300000000001,278,355
DELI,SUSHI,7.0,800.5500000000001,46,101
DRUG GM,FOOT CARE PRODUCTS,7.0,390.64,48,57
GROCERY,FRZN POTATOES,7.0,2994.080000000005,587,1105
GROCERY,BEANS - CANNED GLASS & MW,7.0,2533.349999999999,751,1334
DRUG GM,FIRST AID PRODUCTS,7.0,1627.1000000000015,251,332
DRUG GM,BABY HBC,7.0,2259.3900000000017,328,550
PASTRY,ROLLS,7.0,1512.520000000001,416,706
DRUG GM,CANDLES/ACCESSORIES,7.0,1009.9600000000003,148,185
DELI,PARTY TRAYS,7.0,712.4200000000001,42,49
DRUG GM,GLASSWARE & DINNERWARE,7.0,199.06,18,22
SEAFOOD-PCKGD,SEAFOOD - MISC,7.0,269.13000000000005,116,138
SEAFOOD,SEAFOOD-FRESH,7.0,2589.79,199,341
DRUG GM,TOYS AND GAMES,7.0,1504.7900000000009,177,260
NUTRITION,CEREAL/BREAKFAST,7.0,963.4200000000003,106,208
DRUG GM,J-HOOKS,7.0,511.09000000000003,112,136
GROCERY,NEW AGE,7.0,371.01999999999987,74,120
MEAT,EXOTIC GAME/FOWL,7.0,387.7900000000001,46,53
CNTRL/STORE SUP,COUPON/MISC ITEMS,7.0,18.95,8,9
DRUG GM,WATCHES/CALCULATORS/LOBBY,7.0,26.94,5,5
DRUG GM,HOME HEALTH CARE,3.0,36.269999999999996,3,3
TRAVEL & LEISUR,MELONS,6.0,2.4,1,1
DELI,COFFEE SHOP,3.0,0.99,1,1
TRAVEL & LEISUR,BERRIES,3.0,3.0,1,1
NUTRITION,BULK FOODS,6.0,0.0,1,1
DRUG GM,COUPON/MISC ITEMS,7.0,0.27,1,1
GROCERY,FRZN MEAT/MEAT DINNERS,8.0,20893.50999999993,1052,2749
GROCERY,SPICES & EXTRACTS,8.0,3671.530000000005,747,1213
GROCERY,CRACKERS/MISC BKD FD,8.0,8705.990000000002,1252,2954
GROCERY,DRY NOODLES/PASTA,8.0,3161.6699999999973,954,1824
DRUG GM,CANDY - CHECKLANE,8.0,2766.66000000001,959,2353
GROCERY,CHEESE,8.0,23967.909999999898,1627,5879
GROCERY,TEAS,8.0,1461.1300000000006,312,442
GROCERY,PAPER TOWELS,8.0,3799.0300000000016,643,1264
GROCERY,SALD DRSNG/SNDWCH SPRD,8.0,5783.2700000000095,1066,1989
PASTRY,ROLLS,8.0,1145.21,350,570
GROCERY,FRUIT - SHELF STABLE,8.0,5381.950000000021,818,1726
DRUG GM,J-HOOKS,8.0,463.17999999999995,111,127
PRODUCE,GRAPES,8.0,3778.1900000000005,630,1132
GROCERY,ICE CREAM/MILK/SHERBTS,8.0,8740.049999999985,1022,2176
GROCERY,FRZN POTATOES,8.0,2877.7399999999984,580,1010
PRODUCE,VEGETABLES SALAD,8.0,1754.5100000000068,599,1198
GROCERY,HISPANIC,8.0,6588.040000000008,906,1901
GROCERY,BEANS - CANNED GLASS & MW,8.0,2187.3999999999996,689,1156
GROCERY,NEW AGE,8.0,590.1500000000001,83,155
GROCERY,FRZN BREAKFAST FOODS,8.0,3085.5200000000013,512,869
DELI,SUSHI,8.0,787.29,45,103
SEAFOOD,SEAFOOD-FRESH,8.0,2781.2,211,344
PRODUCE,PROCESSED,8.0,1833.7900000000022,340,546
DRUG GM,FIRST AID PRODUCTS,8.0,1340.97,250,306
PRODUCE,MUSHROOMS,8.0,1603.3800000000017,317,609
DRUG GM,CANDLES/ACCESSORIES,8.0,984.0100000000002,134,175
DRUG GM,BABY HBC,8.0,2148.170000000002,326,516
GROCERY,PWDR/CRYSTL DRNK MX,8.0,1800.9599999999964,351,573
DELI,PARTY TRAYS,8.0,1125.6200000000003,70,76
GROCERY,PET CARE SUPPLIES,8.0,1660.1600000000017,197,298
DRUG GM,TOYS AND GAMES,8.0,1411.630000000001,182,252
SEAFOOD-PCKGD,SEAFOOD - MISC,8.0,379.26,150,181
DRUG GM,BATTERIES,8.0,1782.9200000000003,243,296
NUTRITION,CEREAL/BREAKFAST,8.0,1086.9200000000005,100,191
DRUG GM,GLASSWARE & DINNERWARE,8.0,185.24,13,17
DRUG GM,FOOT CARE PRODUCTS,8.0,407.5,50,57
MEAT,EXOTIC GAME/FOWL,8.0,255.45000000000007,34,36
TOYS,TOYS,8.0,0.99,1,1
CNTRL/STORE SUP,COUPON/MISC ITEMS,8.0,26.0,5,5
DRUG GM,FIREWORKS,8.0,164.26,18,18
DRUG GM,WATCHES/CALCULATORS/LOBBY,8.0,32.46,3,3
PRODUCE,PROD SUPPLIES,4.0,1.79,1,1
DRUG GM,GREETING CARDS/WRAP/PARTY SPLY,1.0,2297.6500000000024,333,483
GROCERY,REFRGRATD JUICES/DRNKS,1.0,3681.5099999999693,644,1402
NUTRITION,DRIED FRUIT,1.0,369.40000000000026,96,122
KIOSK-GAS,COUPON/MISC ITEMS,1.0,11936.16,253,614
GROCERY,WATER - CARBONATED/FLVRD DRINK,1.0,3660.459999999964,478,968
PRODUCE,MELONS,1.0,898.9900000000007,220,293
DRUG GM,CIGARETTES,1.0,4930.309999999996,239,569
PASTRY,CAKES,1.0,2178.2900000000004,199,242
GROCERY,DINNER MXS:DRY,1.0,2258.0700000000047,395,611
NUTRITION,FROZEN,1.0,454.70000000000033,50,84
GROCERY,PAPER HOUSEWARES,1.0,1343.6600000000026,296,418
GROCERY,SOUP,1.0,2978.380000000001,512,858
DRUG GM,APPAREL,1.0,172.47,25,28
DRUG GM,INFANT CARE PRODUCTS,1.0,386.52000000000004,57,71
GROCERY,DRY BN/VEG/POTATO/RICE,1.0,1764.1400000000126,434,635
PRODUCE,CORN,1.0,640.1600000000003,200,272
GROCERY,SUGARS/SWEETNERS,1.0,1250.4900000000036,362,504
DRUG GM,PREPAID WIRELESS&ACCESSORIES,1.0,1236.8600000000001,32,61
PRODUCE,HERBS,1.0,254.56000000000026,108,153
GROCERY,FROZEN BREAD/DOUGH,1.0,869.7400000000001,253,343
FLORAL,FLORAL-FRESH CUT,1.0,1093.6200000000006,99,125
DRUG GM,ELECTRICAL SUPPPLIES,1.0,497.8800000000001,100,116
GROCERY,CAT FOOD,1.0,1413.1199999999976,138,278
NUTRITION,JUICE,1.0,211.76,36,57
MEAT,SMOKED MEATS,1.0,830.1099999999997,113,145
GROCERY,BLEACH,1.0,463.0400000000002,162,205
GROCERY,MOLASSES/SYRUP/PANCAKE MIXS,1.0,710.2000000000014,186,229
SEAFOOD,SEAFOOD - FROZEN,1.0,397.23,35,38
DRUG GM,DIAPERS & DISPOSABLES,1.0,2954.429999999994,134,236
PASTRY,PIES,1.0,473.89000000000067,81,116
DRUG GM,GLASSES/VISION AIDS,1.0,47.96,4,4
NUTRITION,BREAD,1.0,12.96,4,4
GROCERY,CHEESE,2.0,23801.13999999989,1676,5928
GROCERY,FRZN MEAT/MEAT DINNERS,2.0,19059.83999999995,1069,2896
NUTRITION,CEREAL/BREAKFAST,2.0,867.4400000000005,94,196
GROCERY,DRY NOODLES/PASTA,2.0,2741.019999999998,897,1707
GROCERY,CRACKERS/MISC BKD FD,2.0,7482.249999999991,1120,2590
GROCERY,SALD DRSNG/SNDWCH SPRD,2.0,6553.719999999989,1193,2324
GROCERY,FRZN POTATOES,2.0,2662.2300000000027,590,1038
GROCERY,SPICES & EXTRACTS,2.0,3310.5200000000013,700,1097
PRODUCE,GRAPES,2.0,4951.559999999998,854,1683
GROCERY,PAPER TOWELS,2.0,3874.500000000001,668,1313
DRUG GM,CANDY - CHECKLANE,2.0,3947.2299999999923,1133,3441
GROCERY,ICE CREAM/MILK/SHERBTS,2.0,12023.489999999958,1176,2886
GROCERY,BEANS - CANNED GLASS & MW,2.0,2307.6900000000005,706,1215
DRUG GM,BABY HBC,2.0,1914.530000000002,301,512
GROCERY,FRZN BREAKFAST FOODS,2.0,2974.7900000000036,532,943
SEAFOOD,SEAFOOD-FRESH,2.0,2424.5899999999997,199,352
GROCERY,FRUIT - SHELF STABLE,2.0,4575.350000000007,776,1514
PRODUCE,VEGETABLES SALAD,2.0,1953.7500000000089,763,1613
GROCERY,HISPANIC,2.0,6178.750000000012,887,1771
DELI,PARTY TRAYS,2.0,444.62999999999994,35,39
PRODUCE,PROCESSED,2.0,1750.3400000000029,388,544
GROCERY,TEAS,2.0,1438.2900000000004,326,454
DRUG GM,TOYS AND GAMES,2.0,1087.8600000000008,181,220
DRUG GM,BATTERIES,2.0,1437.8000000000002,204,252
GROCERY,PET CARE SUPPLIES,2.0,1754.3300000000022,205,321
DRUG GM,FIRST AID PRODUCTS,2.0,1744.5400000000027,291,385
PASTRY,ROLLS,2.0,1321.100000000002,375,733
GROCERY,PWDR/CRYSTL DRNK MX,2.0,2354.320000000006,472,806
