department,commodity_desc,category_sales,units,household_count,household_penetration,basket_penetration,discount_rate,first_year_sales,second_year_sales,sales_growth
DRUG GM,MISCELLANEOUS HBC,87.4,31.0,22,0.0088,0.00010127168299069747,0.0,50.93000000000001,36.47,-14.460000000000008
MEAT,EXOTIC GAME/FOWL,1387.1600000000003,261.0,132,0.0528,0.000726986010040364,0.18181871957315157,528.0999999999999,859.0600000000001,330.96000000000015
NUTRITION,NATURAL VITAMINS,328.17,33.0,27,0.0108,0.00011573906627508283,0.21104926517259903,66.33,261.84000000000003,195.51000000000005
NUTRITION,ORGANICS FRUIT & VEGETABLES,40.39000000000001,14.0,12,0.0048,5.0635841495348736e-05,0.03511705685618728,25.440000000000005,14.950000000000001,-10.490000000000004
MEAT,BACON,0.3,1.0,1,0.0004,3.6168458210963385e-06,0.0,0.0,0.3,0.3
DRUG GM,FD WRAPS/BAGS/TRSH BG,36.03,11.0,9,0.0036,3.255161238986705e-05,0.08063281449349323,0.0,36.03,36.03
SEAFOOD,SEAFOOD - MISC,16.43,4.0,3,0.0012,1.4467383284385354e-05,0.2035870092098885,0.0,16.43,16.43
GROCERY,DRY NOODLES/PASTA,23361.480000000076,22070.0,1962,0.7848,0.05071179525759176,0.18070852510596586,10630.40000000001,12731.080000000013,2100.680000000002
DRUG GM,GREETING CARDS/WRAP/PARTY SPLY,33396.58999999972,13671.0,1604,0.6416,0.027513346161079845,0.026407458596956774,15160.000000000018,18236.589999999946,3076.5899999999274
GROCERY,FD WRAPS/BAGS/TRSH BG,42796.1899999999,15493.0,1906,0.7624,0.04066058072076503,0.15207114275503095,18491.08000000003,24305.109999999997,5814.029999999966
GROCERY,YOGURT,59341.21999999974,74032.0,1778,0.7112,0.06367095383457994,0.19780966921510612,26514.379999999972,32826.83999999993,6312.459999999959
GROCERY,CONDIMENTS/SAUCES,44856.139999999716,26827.0,2158,0.8632,0.06466558643538144,0.15844929613793274,20429.630000000063,24426.509999999987,3996.8799999999246
GROCERY,BUTTER,16887.94000000003,6183.0,983,0.3932,0.017910620506069067,0.16451087024154676,7905.320000000006,8982.619999999994,1077.2999999999874
GROCERY,SPICES & EXTRACTS,28220.109999999964,14102.0,1904,0.7616,0.03424791307996123,0.15509936633307975,13043.74000000001,15176.369999999999,2132.6299999999883
GROCERY,DINNER MXS:DRY,47209.57999999995,29913.0,1834,0.7336,0.04813660103297117,0.18572749276658945,22427.720000000034,24781.860000000015,2354.1399999999812
PRODUCE,ONIONS,23771.859999999993,18880.0,1938,0.7752,0.05654576756702015,0.0336253208732469,10870.610000000013,12901.250000000004,2030.6399999999903
GARDEN CENTER,GARDEN CENTER,7164.660000000001,1211.0,282,0.1128,0.0018518250604013253,0.1259156056783413,2509.660000000001,4655.0,2145.339999999999
DRUG GM,INFANT CARE PRODUCTS,6389.780000000006,1522.0,448,0.1792,0.004137671619334211,0.06409781346037904,2782.09,3607.6900000000023,825.6000000000022
GROCERY,HOT CEREAL,17172.94000000003,7193.0,1440,0.576,0.02027965451888717,0.11897713524001408,7528.04,9644.899999999998,2116.859999999998
PRODUCE,ORGANICS FRUIT & VEGETABLES,17053.87000000003,7085.0,1239,0.4956,0.01915119862270511,0.09029856041984223,6141.810000000007,10912.060000000012,4770.2500000000055
GROCERY,FACIAL TISS/DNR NAPKIN,18828.930000000033,10426.0,1352,0.5408,0.024800711795257592,0.1130927849296015,8549.750000000005,10279.180000000018,1729.430000000013
DELI,SANDWICHES,4665.250000000005,1327.0,308,0.1232,0.003247927547344512,0.009193932726492706,1682.0600000000002,2983.190000000002,1301.1300000000017
GROCERY,COUPON/MISC ITEMS,4564.330000000002,1760.0,832,0.3328,0.00495869562072308,7.667569249103986e-05,2522.98,2041.3500000000004,-481.62999999999965
DRUG GM,CHARCOAL AND LIGHTER FLUID,11693.630000000016,2632.0,747,0.2988,0.007190289492339521,0.06535216139159163,4746.810000000004,6946.820000000007,2200.010000000003
DRUG GM,STATIONERY & SCHOOL SUPPLIES,18305.26000000002,9068.0,1334,0.5336,0.016887053138698805,0.10387666773623869,8339.100000000011,9966.160000000014,1627.0600000000031
GROCERY,PICKLE/RELISH/PKLD VEG,15569.830000000016,7611.0,1535,0.614,0.022301471332880022,0.19086599844909785,7046.7500000000055,8523.080000000002,1476.3299999999963
NUTRITION,CEREAL/BREAKFAST,7022.840000000006,2081.0,330,0.132,0.005295062282085039,0.1369512393877881,2908.7500000000014,4114.090000000003,1205.3400000000015
GROCERY,SNACK NUTS,17325.820000000025,6336.0,1183,0.4732,0.016944922671836345,0.18088891163386633,7917.5000000000055,9408.320000000012,1490.820000000007
TRAVEL & LEISUR,APPLES,2537.2599999999998,940.0,478,0.1912,0.003056234718826406,0.0875102046687933,1108.54,1428.72,320.18000000000006
KIOSK-GAS,FUEL,29536.559999999998,119617.0,346,0.1384,0.0064669203281202525,8.903426261857553e-05,8991.76,20544.800000000003,11553.040000000003
PRODUCE,GRAPES,34038.69000000001,10927.0,1763,0.7052,0.036739919850696606,0.19185935532396198,15406.180000000002,18632.510000000006,3226.3300000000036
DELI,PREPARED FOOD,21906.439999999995,5770.0,989,0.3956,0.017093213350501294,0.08586021121631167,9808.310000000003,12098.130000000001,2289.819999999998
GROCERY,IMPORTED WINE,21498.680000000008,2398.0,376,0.1504,0.006253526424675569,0.002586938004420433,9757.02000000001,11741.660000000007,1984.6399999999976
DRUG GM,HAND/BODY/FACIAL PRODUCTS,20891.140000000018,3624.0,923,0.3692,0.010329711665051143,0.08901550162410544,9188.350000000006,11702.790000000008,2514.4400000000023
DRUG GM,PROPANE,1300.93,58.0,44,0.0176,0.0001989265201602986,0.0,676.72,624.2099999999999,-52.510000000000105
DRUG GM,AUTOMOTIVE PRODUCTS,3716.8500000000013,1259.0,564,0.2256,0.0033491992303352094,0.010994137703974042,1890.7700000000004,1826.0800000000006,-64.68999999999983
DRUG GM,SUNTAN,3025.990000000001,451.0,283,0.1132,0.0013309992621634524,0.15615526346047598,1135.0000000000005,1890.9900000000007,755.9900000000002
DRUG GM,HOME FURNISHINGS,1554.08,124.0,73,0.0292,0.0003327498155408631,0.09393128458071699,525.26,1028.82,503.55999999999995
DELI,COFFEE SHOP,2.9699999999999998,3.0,2,0.0008,1.0850537463289014e-05,0.0,2.9699999999999998,0.0,-2.9699999999999998
RESTAURANT,COFFEE SHOP,774.85,261.0,60,0.024,0.0007197523183981714,0.0637385210246496,167.92,606.9300000000001,439.0100000000001
DRUG GM,DOLLAR VALUE PRODUCTS,354.63,325.0,142,0.0568,0.0006148637895863775,0.1913947602435187,129.12,225.51000000000002,96.39000000000001
CNTRL/STORE SUP,COUPON/MISC ITEMS,49.05,22.0,20,0.008,7.59537622430231e-05,0.0,4.1,44.95,40.85
SEAFOOD,MEAT SUPPLIES,201.95000000000002,28.0,26,0.0104,0.00010127168299069747,0.0,69.68,132.27,62.59
DRUG GM,EASTER,1913.7400000000025,1183.0,396,0.1584,0.002076069501309298,0.10542799446542744,711.7800000000004,1201.9600000000023,490.1800000000019
FROZEN GROCERY,MISCELLANEOUS CROUTONS,6.39,1.0,1,0.0004,3.6168458210963385e-06,0.0,0.0,6.39,6.39
MEAT,MEAT - MISC,42.68,17.0,8,0.0032,3.978530403205972e-05,0.0,7.870000000000001,34.81,26.94
DRUG GM,FRAGRANCES,29.99,1.0,1,0.0004,3.6168458210963385e-06,0.0,29.99,0.0,-29.99
PRODUCE,SALAD BAR,28.250000000000004,6.0,4,0.0016,1.8084229105481692e-05,0.0,11.65,16.6,4.950000000000001
